query_id,query,route,ndcg_at_10,rr_first_exact,latency_ms,utility,candidate_count,token_count,char_count,has_question,has_model_number,has_money,has_negation,has_compatibility,has_color
q1,sony wh-1000xm5,lexical,0.9592,1.0,2.0,0.9512,5,3.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
q1,sony wh-1000xm5,dense,0.9733,1.0,8.0,0.9413,5,3.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
q1,sony wh-1000xm5,hybrid,0.9733,1.0,11.0,0.9293,5,3.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
q1,sony wh-1000xm5,rerank,0.9592,1.0,35.0,0.8192,5,3.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0
q2,comfortable shoes for nurses working long shifts,lexical,0.9154,1.0,2.0,0.9074,6,7.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0
q2,comfortable shoes for nurses working long shifts,dense,0.9154,1.0,8.0,0.8834,6,7.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0
q2,comfortable shoes for nurses working long shifts,hybrid,0.9154,1.0,11.0,0.8714,6,7.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0
q2,comfortable shoes for nurses working long shifts,rerank,0.9154,1.0,35.0,0.7754,6,7.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0
q3,black headphones under $100 without microphone,lexical,0.8452,0.5,2.0,0.8372,5,6.0,46.0,0.0,0.0,1.0,1.0,0.0,1.0
q3,black headphones under $100 without microphone,dense,0.9595,1.0,8.0,0.9275,5,6.0,46.0,0.0,0.0,1.0,1.0,0.0,1.0
q3,black headphones under $100 without microphone,hybrid,0.9595,1.0,11.0,0.9155,5,6.0,46.0,0.0,0.0,1.0,1.0,0.0,1.0
q3,black headphones under $100 without microphone,rerank,0.9595,1.0,35.0,0.8195,5,6.0,46.0,0.0,0.0,1.0,1.0,0.0,1.0
q4,replacement charger for dell xps 13 9310,lexical,0.9404,1.0,2.0,0.9324,5,7.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0
q4,replacement charger for dell xps 13 9310,dense,0.9404,1.0,8.0,0.9084,5,7.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0
q4,replacement charger for dell xps 13 9310,hybrid,0.9404,1.0,11.0,0.8964,5,7.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0
q4,replacement charger for dell xps 13 9310,rerank,0.9404,1.0,35.0,0.8004,5,7.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0
q5,stainless steel water bottle 32 oz,lexical,1.0,1.0,2.0,0.992,5,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
q5,stainless steel water bottle 32 oz,dense,1.0,1.0,8.0,0.968,5,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
q5,stainless steel water bottle 32 oz,hybrid,1.0,1.0,11.0,0.956,5,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
q5,stainless steel water bottle 32 oz,rerank,1.0,1.0,35.0,0.86,5,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
q6,wireless mechanical keyboard rgb,lexical,0.996,1.0,2.0,0.988,5,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
q6,wireless mechanical keyboard rgb,dense,0.996,1.0,8.0,0.964,5,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
q6,wireless mechanical keyboard rgb,hybrid,0.996,1.0,11.0,0.952,5,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
q6,wireless mechanical keyboard rgb,rerank,0.996,1.0,35.0,0.856,5,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
q7,organic green tea bags,lexical,0.996,1.0,2.0,0.988,5,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0
q7,organic green tea bags,dense,0.996,1.0,8.0,0.964,5,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0
q7,organic green tea bags,hybrid,0.996,1.0,11.0,0.952,5,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0
q7,organic green tea bags,rerank,0.996,1.0,35.0,0.856,5,4.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0
q8,kids waterproof hiking boots size 12,lexical,0.9404,1.0,2.0,0.9324,5,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
q8,kids waterproof hiking boots size 12,dense,0.9404,1.0,8.0,0.9084,5,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
q8,kids waterproof hiking boots size 12,hybrid,0.9404,1.0,11.0,0.8964,5,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
q8,kids waterproof hiking boots size 12,rerank,0.9404,1.0,35.0,0.8004,5,6.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
