query_id,query,route,ndcg_at_10,rr_first_exact,latency_ms,utility,candidate_count,token_count,char_count,has_question,has_model_number,has_money,has_negation,has_compatibility,has_color
2,!qscreen fence without holes,lexical,0.2601,0.5,2.0,0.2521,38,4.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0
2,!qscreen fence without holes,dense,0.5126,1.0,8.0,0.4806,38,4.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0
2,!qscreen fence without holes,hybrid,0.4066,1.0,11.0,0.3626,38,4.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0
2,!qscreen fence without holes,rerank,0.4066,1.0,35.0,0.2666,38,4.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0
12,#1 black natural hair dye without ammonia or peroxide,lexical,0.7077,1.0,2.0,0.6997,40,9.0,53.0,0.0,0.0,0.0,1.0,0.0,1.0
12,#1 black natural hair dye without ammonia or peroxide,dense,0.7077,1.0,8.0,0.6757,40,9.0,53.0,0.0,0.0,0.0,1.0,0.0,1.0
12,#1 black natural hair dye without ammonia or peroxide,hybrid,0.6197,1.0,11.0,0.5757,40,9.0,53.0,0.0,0.0,0.0,1.0,0.0,1.0
12,#1 black natural hair dye without ammonia or peroxide,rerank,0.6197,1.0,35.0,0.4797,40,9.0,53.0,0.0,0.0,0.0,1.0,0.0,1.0
13,#1 rated resveratrol supplement without tea leaves,lexical,0.8877,1.0,2.0,0.8797,40,7.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0
13,#1 rated resveratrol supplement without tea leaves,dense,0.9621,1.0,8.0,0.9301,40,7.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0
13,#1 rated resveratrol supplement without tea leaves,hybrid,0.8974,1.0,11.0,0.8534,40,7.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0
13,#1 rated resveratrol supplement without tea leaves,rerank,0.8974,1.0,35.0,0.7574,40,7.0,50.0,0.0,0.0,0.0,1.0,0.0,0.0
18,#10 envelopes without security tint,lexical,0.4085,0.1111,2.0,0.4005,40,5.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
18,#10 envelopes without security tint,dense,0.4513,0.5,8.0,0.4193,40,5.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
18,#10 envelopes without security tint,hybrid,0.4672,0.3333,11.0,0.4232,40,5.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
18,#10 envelopes without security tint,rerank,0.4533,0.25,35.0,0.3133,40,5.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
19,#10 standard no tint no window not self seal,lexical,0.2876,0.3333,2.0,0.2796,37,9.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0
19,#10 standard no tint no window not self seal,dense,0.2771,0.25,8.0,0.2451,37,9.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0
19,#10 standard no tint no window not self seal,hybrid,0.2791,0.2,11.0,0.2351,37,9.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0
19,#10 standard no tint no window not self seal,rerank,0.4341,1.0,35.0,0.2941,37,9.0,44.0,0.0,0.0,0.0,1.0,0.0,0.0
34,#4 pads without wings,lexical,0.8851,1.0,2.0,0.8771,40,4.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
34,#4 pads without wings,dense,0.9513,1.0,8.0,0.9193,40,4.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
34,#4 pads without wings,hybrid,0.9458,1.0,11.0,0.9018,40,4.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
34,#4 pads without wings,rerank,0.9513,1.0,35.0,0.8113,40,4.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
37,#5 orb to not fitting,lexical,0.826,1.0,2.0,0.818,14,5.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
37,#5 orb to not fitting,dense,0.8328,1.0,8.0,0.8008,14,5.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
37,#5 orb to not fitting,hybrid,0.8328,1.0,11.0,0.7888,14,5.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
37,#5 orb to not fitting,rerank,0.8328,1.0,35.0,0.6928,14,5.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0
42,#8 merchandising tags without string,lexical,0.5685,1.0,2.0,0.5605,40,5.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0
42,#8 merchandising tags without string,dense,0.4682,1.0,8.0,0.4362,40,5.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0
42,#8 merchandising tags without string,hybrid,0.5043,1.0,11.0,0.4603,40,5.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0
42,#8 merchandising tags without string,rerank,0.5043,1.0,35.0,0.3643,40,5.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0
60,$1 first addition charizard not fake,lexical,0.521,0.3333,2.0,0.513,39,6.0,36.0,0.0,0.0,1.0,1.0,0.0,0.0
60,$1 first addition charizard not fake,dense,0.5863,1.0,8.0,0.5543,39,6.0,36.0,0.0,0.0,1.0,1.0,0.0,0.0
60,$1 first addition charizard not fake,hybrid,0.5281,0.5,11.0,0.4841,39,6.0,36.0,0.0,0.0,1.0,1.0,0.0,0.0
60,$1 first addition charizard not fake,rerank,0.5281,0.5,35.0,0.3881,39,6.0,36.0,0.0,0.0,1.0,1.0,0.0,0.0
67,$10 credit not given on purchase on prime day,lexical,0.3333,0.1429,2.0,0.3253,14,9.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0
67,$10 credit not given on purchase on prime day,dense,0.5,0.3333,8.0,0.468,14,9.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0
67,$10 credit not given on purchase on prime day,hybrid,0.4307,0.25,11.0,0.3867,14,9.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0
67,$10 credit not given on purchase on prime day,rerank,0.4307,0.25,35.0,0.2907,14,9.0,45.0,0.0,0.0,1.0,1.0,0.0,0.0
72,$100 things that are not electronics,lexical,0.3692,0.3333,2.0,0.3612,34,6.0,36.0,1.0,0.0,1.0,1.0,0.0,0.0
72,$100 things that are not electronics,dense,0.4511,0.3333,8.0,0.4191,34,6.0,36.0,1.0,0.0,1.0,1.0,0.0,0.0
72,$100 things that are not electronics,hybrid,0.36,0.3333,11.0,0.316,34,6.0,36.0,1.0,0.0,1.0,1.0,0.0,0.0
72,$100 things that are not electronics,rerank,0.36,0.3333,35.0,0.22,34,6.0,36.0,1.0,0.0,1.0,1.0,0.0,0.0
80,$150 laptop not previews,lexical,0.6932,0.5,2.0,0.6852,16,4.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0
80,$150 laptop not previews,dense,0.7744,1.0,8.0,0.7424,16,4.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0
80,$150 laptop not previews,hybrid,0.6932,0.5,11.0,0.6492,16,4.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0
80,$150 laptop not previews,rerank,0.6932,0.5,35.0,0.5532,16,4.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0
99,$44red ' phone without having to pay production,lexical,0.3978,0.1429,2.0,0.3898,13,7.0,47.0,0.0,1.0,1.0,1.0,0.0,0.0
99,$44red ' phone without having to pay production,dense,0.2372,0.2,8.0,0.2052,13,7.0,47.0,0.0,1.0,1.0,1.0,0.0,0.0
99,$44red ' phone without having to pay production,hybrid,0.2372,0.2,11.0,0.1932,13,7.0,47.0,0.0,1.0,1.0,1.0,0.0,0.0
99,$44red ' phone without having to pay production,rerank,0.2372,0.2,35.0,0.0972,13,7.0,47.0,0.0,1.0,1.0,1.0,0.0,0.0
100,$5 items,lexical,0.6051,1.0,2.0,0.5971,24,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
100,$5 items,dense,0.5696,1.0,8.0,0.5376,24,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
100,$5 items,hybrid,0.5984,1.0,11.0,0.5544,24,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
100,$5 items,rerank,0.5984,1.0,35.0,0.4584,24,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
101,$50 gifts for men,lexical,0.89,1.0,2.0,0.882,40,4.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0
101,$50 gifts for men,dense,0.7165,1.0,8.0,0.6845,40,4.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0
101,$50 gifts for men,hybrid,0.8611,1.0,11.0,0.8171,40,4.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0
101,$50 gifts for men,rerank,0.8611,1.0,35.0,0.7211,40,4.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0
108,$90 iphone not chage,lexical,0.7065,0.3333,2.0,0.6985,15,4.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0
108,$90 iphone not chage,dense,0.5578,0.25,8.0,0.5258,15,4.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0
108,$90 iphone not chage,hybrid,0.5918,0.25,11.0,0.5478,15,4.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0
108,$90 iphone not chage,rerank,0.5918,0.25,35.0,0.4518,15,4.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0
109,$not without hoodie,lexical,0.2599,0.2,2.0,0.2519,31,3.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0
109,$not without hoodie,dense,0.2536,0.1667,8.0,0.2216,31,3.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0
109,$not without hoodie,hybrid,0.3027,0.2,11.0,0.2587,31,3.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0
109,$not without hoodie,rerank,0.3027,0.2,35.0,0.1627,31,3.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0
111,%100 silicone not clear,lexical,0.5123,0.5,2.0,0.5043,40,4.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0
111,%100 silicone not clear,dense,0.546,0.3333,8.0,0.514,40,4.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0
111,%100 silicone not clear,hybrid,0.6298,0.5,11.0,0.5858,40,4.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0
111,%100 silicone not clear,rerank,0.5595,0.5,35.0,0.4195,40,4.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0
113,&#34;tortillas without interesterified soybean oil”,lexical,0.0,0.0435,2.0,-0.008,39,6.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0
113,&#34;tortillas without interesterified soybean oil”,dense,0.0,0.05,8.0,-0.032,39,6.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0
113,&#34;tortillas without interesterified soybean oil”,hybrid,0.0,0.05,11.0,-0.044,39,6.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0
113,&#34;tortillas without interesterified soybean oil”,rerank,0.0,0.05,35.0,-0.14,39,6.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0
117,''i am here for a good time not a log time'' sticker,lexical,0.8865,1.0,2.0,0.8785,40,12.0,52.0,0.0,0.0,0.0,1.0,1.0,0.0
117,''i am here for a good time not a log time'' sticker,dense,0.726,0.5,8.0,0.694,40,12.0,52.0,0.0,0.0,0.0,1.0,1.0,0.0
117,''i am here for a good time not a log time'' sticker,hybrid,0.8385,1.0,11.0,0.7945,40,12.0,52.0,0.0,0.0,0.0,1.0,1.0,0.0
117,''i am here for a good time not a log time'' sticker,rerank,0.8385,1.0,35.0,0.6985,40,12.0,52.0,0.0,0.0,0.0,1.0,1.0,0.0
121,'32 qt storage bins without lids',lexical,0.6783,1.0,2.0,0.6703,40,6.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0
121,'32 qt storage bins without lids',dense,0.6149,1.0,8.0,0.5829,40,6.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0
121,'32 qt storage bins without lids',hybrid,0.6275,1.0,11.0,0.5835,40,6.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0
121,'32 qt storage bins without lids',rerank,0.6275,1.0,35.0,0.4875,40,6.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0
125,'but not the hippopotamus book,lexical,0.7943,1.0,2.0,0.7863,16,5.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0
125,'but not the hippopotamus book,dense,0.735,0.5,8.0,0.703,16,5.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0
125,'but not the hippopotamus book,hybrid,0.802,1.0,11.0,0.758,16,5.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0
125,'but not the hippopotamus book,rerank,0.7831,1.0,35.0,0.6431,16,5.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0
127,'deliveries and packages not accepted' sign,lexical,0.3155,0.125,2.0,0.3075,14,6.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0
127,'deliveries and packages not accepted' sign,dense,0.3155,0.125,8.0,0.2835,14,6.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0
127,'deliveries and packages not accepted' sign,hybrid,0.3155,0.125,11.0,0.2715,14,6.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0
127,'deliveries and packages not accepted' sign,rerank,0.3155,0.125,35.0,0.1755,14,6.0,43.0,0.0,0.0,0.0,1.0,0.0,0.0
131,'forget me not i' 2 piece framed print,lexical,0.4259,0.3333,2.0,0.4179,40,8.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0
131,'forget me not i' 2 piece framed print,dense,0.2984,0.3333,8.0,0.2664,40,8.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0
131,'forget me not i' 2 piece framed print,hybrid,0.3932,0.3333,11.0,0.3492,40,8.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0
131,'forget me not i' 2 piece framed print,rerank,0.3932,0.3333,35.0,0.2532,40,8.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0
133,'god is not great' by christopher hitchens,lexical,0.8194,1.0,2.0,0.8114,16,7.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0
133,'god is not great' by christopher hitchens,dense,0.9225,1.0,8.0,0.8905,16,7.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0
133,'god is not great' by christopher hitchens,hybrid,0.8721,1.0,11.0,0.8281,16,7.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0
133,'god is not great' by christopher hitchens,rerank,0.8659,1.0,35.0,0.7259,16,7.0,42.0,1.0,0.0,0.0,1.0,0.0,0.0
136,'i'm tired' 'i'm not tired' tshirts,lexical,0.7243,1.0,2.0,0.7163,40,6.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
136,'i'm tired' 'i'm not tired' tshirts,dense,0.7242,1.0,8.0,0.6922,40,6.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
136,'i'm tired' 'i'm not tired' tshirts,hybrid,0.7243,1.0,11.0,0.6803,40,6.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
136,'i'm tired' 'i'm not tired' tshirts,rerank,0.7243,1.0,35.0,0.5843,40,6.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0
160,'why not me?' by mindy kaling,lexical,0.7988,1.0,2.0,0.7908,16,6.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0
160,'why not me?' by mindy kaling,dense,0.565,0.25,8.0,0.533,16,6.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0
160,'why not me?' by mindy kaling,hybrid,0.5966,0.3333,11.0,0.5526,16,6.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0
160,'why not me?' by mindy kaling,rerank,0.5966,0.3333,35.0,0.4566,16,6.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0
